Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Age (in years),Total - Male,Total - Female,PSUs - Male,PSUs - Female,Private - Male,Private - Female,Business owners - Male,Business owners - Female,Zero income - Male,Zero income - Female,Other kind of employment - Male,Other kind of employment- Female
HH06,19,15,District - Medinipur  (15),RURAL,20-29,144912,7063,14748,555,127681,5104,2175,311,308,1093,0,0
HH06,19,15,District - Medinipur  (15),RURAL,30-39,422882,14950,5414,891,403950,8945,12735,1342,783,3772,0,0
HH06,19,15,District - Medinipur  (15),RURAL,40-49,424914,14735,2117,841,398894,7686,23048,3086,855,3122,0,0
HH06,19,15,District - Medinipur  (15),RURAL,50-59,276479,11292,1113,332,250442,3983,24356,5935,568,1042,0,0
HH06,19,15,District - Medinipur  (15),RURAL,60-69,175380,12139,567,134,150865,2255,23513,9396,435,354,0,0
HH06,19,15,District - Medinipur  (15),RURAL,70-79,79045,9226,294,31,68056,853,10433,8247,262,95,0,0
HH06,19,15,District - Medinipur  (15),RURAL,80+,813,95,185,23,581,52,44,13,3,7,0,0
HH06,19,15,District - Medinipur  (15),RURAL,Age Not Stated,22375,3791,159,21,19559,290,2580,3446,77,34,0,0
HH06,19,15,District - Medinipur  (15),URBAN,All Ages,183528,10905,5551,1220,159520,4862,18103,3598,354,1225,0,0
HH06,19,15,District - Medinipur  (15),URBAN,Less than 20,799,305,550,258,221,32,28,9,0,6,0,0
HH06,19,15,District - Medinipur  (15),URBAN,20-29,12573,738,2425,180,9907,412,214,35,27,111,0,0
HH06,19,15,District - Medinipur  (15),URBAN,30-39,43526,2076,1350,274,40348,1205,1756,161,72,436,0,0
HH06,19,15,District - Medinipur  (15),URBAN,40-49,54542,2523,576,243,49854,1428,4016,431,96,421,0,0
HH06,19,15,District - Medinipur  (15),URBAN,50-59,37363,1950,303,161,32445,906,4542,740,73,143,0,0
HH06,19,15,District - Medinipur  (15),URBAN,60-69,21722,1687,170,72,16844,568,4666,972,42,75,0,0
HH06,19,15,District - Medinipur  (15),URBAN,70-79,9955,1132,107,20,7540,226,2273,868,35,18,0,0
HH06,19,15,District - Medinipur  (15),URBAN,80+,127,18,35,6,86,10,6,2,0,0,0,0
HH06,19,15,District - Medinipur  (15),URBAN,Age Not Stated,2921,476,35,6,2275,75,602,380,9,15,0,0
HH06,19,16,District - Haora  (16),TOTAL,All Ages,796041,40447,24835,3272,694190,17936,75225,16181,1791,3058,0,0
HH06,19,16,District - Haora  (16),TOTAL,Less than 20,4590,1551,3058,1285,1332,179,193,76,7,11,0,0
HH06,19,16,District - Haora  (16),TOTAL,20-29,58118,2566,9366,414,47815,1693,814,149,123,310,0,0
HH06,19,16,District - Haora  (16),TOTAL,30-39,188837,6001,5556,483,176551,3689,6365,698,365,1131,0,0
HH06,19,16,District - Haora  (16),TOTAL,40-49,221987,7620,2778,504,204177,4306,14488,1907,544,903,0,0
HH06,19,16,District - Haora  (16),TOTAL,50-59,159327,7462,1800,282,138307,3441,18804,3340,416,399,0,0
HH06,19,16,District - Haora  (16),TOTAL,60-69,103106,7830,1169,199,80943,2824,20795,4598,199,209,0,0
HH06,19,16,District - Haora  (16),TOTAL,70-79,45562,5177,627,53,34246,1335,10581,3727,108,62,0,0
HH06,19,16,District - Haora  (16),TOTAL,80+,570,89,214,30,325,44,30,12,1,3,0,0
HH06,19,16,District - Haora  (16),TOTAL,Age Not Stated,13944,2151,267,22,10494,425,3155,1674,28,30,0,0
HH06,19,16,District - Haora  (16),RURAL,All Ages,384776,16371,9835,1125,340414,7732,33828,6044,699,1470,0,0
HH06,19,16,District - Haora  (16),RURAL,Less than 20,2139,759,1425,617,624,96,89,42,1,4,0,0
HH06,19,16,District - Haora  (16),RURAL,20-29,33424,1349,4388,127,28463,994,503,56,70,172,0,0
HH06,19,16,District - Haora  (16),RURAL,30-39,100228,2854,2109,133,94586,1872,3372,286,161,563,0,0
HH06,19,16,District - Haora  (16),RURAL,40-49,103648,2955,793,132,95900,1776,6774,626,181,421,0,0
HH06,19,16,District - Haora  (16),RURAL,50-59,70255,2623,517,63,61230,1268,8375,1113,133,179,0,0
HH06,19,16,District - Haora  (16),RURAL,60-69,46971,2882,318,30,37534,1054,9028,1714,91,84,0,0
HH06,19,16,District - Haora  (16),RURAL,70-79,21402,2057,144,7,16733,518,4475,1503,50,29,0,0
HH06,19,16,District - Haora  (16),RURAL,80+,231,29,74,12,149,11,8,5,0,1,0,0
HH06,19,16,District - Haora  (16),RURAL,Age Not Stated,6478,863,67,4,5195,143,1204,699,12,17,0,0
HH06,19,16,District - Haora  (16),URBAN,All Ages,411265,24076,15000,2147,353776,10204,41397,10137,1092,1588,0,0
HH06,19,16,District - Haora  (16),URBAN,Less than 20,2451,792,1633,668,708,83,104,34,6,7,0,0
HH06,19,16,District - Haora  (16),URBAN,20-29,24694,1217,4978,287,19352,699,311,93,53,138,0,0
HH06,19,16,District - Haora  (16),URBAN,30-39,88609,3147,3447,350,81965,1817,2993,412,204,568,0,0
HH06,19,16,District - Haora  (16),URBAN,40-49,118339,4665,1985,372,108277,2530,7714,1281,363,482,0,0
HH06,19,16,District - Haora  (16),URBAN,50-59,89072,4839,1283,219,77077,2173,10429,2227,283,220,0,0
HH06,19,16,District - Haora  (16),URBAN,60-69,56135,4948,851,169,43409,1770,11767,2884,108,125,0,0
HH06,19,16,District - Haora  (16),URBAN,70-79,24160,3120,483,46,17513,817,6106,2224,58,33,0,0
HH06,19,16,District - Haora  (16),URBAN,80+,339,60,140,18,176,33,22,7,1,2,0,0
HH06,19,16,District - Haora  (16),URBAN,Age Not Stated,7466,1288,200,18,5299,282,1951,975,16,13,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,All Ages,852312,69950,39883,8747,712391,30982,98032,26778,2006,3443,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,Less than 20,5942,2189,3845,1820,1728,225,353,126,16,18,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,20-29,42410,3624,11003,1247,30651,1900,636,187,120,290,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,30-39,153925,8415,8680,1507,139684,4939,5190,969,371,1000,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,40-49,228432,12568,5798,1532,206478,7106,15631,2954,525,976,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,50-59,194137,13817,4131,1139,166305,6751,23229,5350,472,577,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,60-69,137663,14664,3024,897,105173,5797,29167,7597,299,373,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,70-79,66409,9909,1940,379,46591,3088,17716,6301,162,141,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,80+,1690,248,675,96,907,115,105,35,3,2,0,0
HH06,19,17,District - Kolkata  (17),TOTAL,Age Not Stated,21704,4516,787,130,14874,1061,6005,3259,38,66,0,0
HH06,19,17,District - Kolkata  (17),RURAL,All Ages,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,Less than 20,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,20-29,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,30-39,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,40-49,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,50-59,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,60-69,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,70-79,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,80+,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),RURAL,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0
HH06,19,17,District - Kolkata  (17),URBAN,All Ages,852312,69950,39883,8747,712391,30982,98032,26778,2006,3443,0,0
HH06,19,17,District - Kolkata  (17),URBAN,Less than 20,5942,2189,3845,1820,1728,225,353,126,16,18,0,0
HH06,19,17,District - Kolkata  (17),URBAN,20-29,42410,3624,11003,1247,30651,1900,636,187,120,290,0,0
HH06,19,17,District - Kolkata  (17),URBAN,30-39,153925,8415,8680,1507,139684,4939,5190,969,371,1000,0,0
HH06,19,17,District - Kolkata  (17),URBAN,40-49,228432,12568,5798,1532,206478,7106,15631,2954,525,976,0,0
HH06,19,17,District - Kolkata  (17),URBAN,50-59,194137,13817,4131,1139,166305,6751,23229,5350,472,577,0,0
HH06,19,17,District - Kolkata  (17),URBAN,60-69,137663,14664,3024,897,105173,5797,29167,7597,299,373,0,0
HH06,19,17,District - Kolkata  (17),URBAN,70-79,66409,9909,1940,379,46591,3088,17716,6301,162,141,0,0
HH06,19,17,District - Kolkata  (17),URBAN,80+,1690,248,675,96,907,115,105,35,3,2,0,0
HH06,19,17,District - Kolkata  (17),URBAN,Age Not Stated,21704,4516,787,130,14874,1061,6005,3259,38,66,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,All Ages,1264044,55762,33143,3679,1141754,24203,85926,21658,3221,6222,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,Less than 20,8596,2253,5887,1840,2496,300,191,90,22,23,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,20-29,138814,3939,14813,479,122168,2513,1508,271,325,676,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,30-39,348096,9747,6661,420,331110,5725,9513,1240,812,2362,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,40-49,337054,11121,2580,426,314649,6156,18996,2590,829,1949,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,50-59,217035,9586,1285,225,194051,4275,21095,4354,604,732,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,60-69,133245,9643,798,128,111010,3265,21058,5924,379,326,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,70-79,59155,6394,387,42,48230,1370,10351,4885,187,97,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,80+,1910,220,499,94,1304,88,102,30,5,8,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),TOTAL,Age Not Stated,20139,2859,233,25,16736,511,3112,2274,58,49,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,All Ages,1044503,42950,25720,2589,950865,17851,65291,17479,2627,5031,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,Less than 20,7372,1880,5160,1548,2070,245,126,72,16,15,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,20-29,122449,3097,12042,290,108798,2014,1326,222,283,571,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,30-39,295794,7622,4846,230,282383,4414,7879,1030,686,1948,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,40-49,275675,8461,1693,240,258334,4563,14979,2071,669,1587,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,50-59,172818,7088,774,111,155670,2949,15908,3462,466,566,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,60-69,105563,7462,444,52,89550,2313,15272,4862,297,235,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,70-79,47093,4940,206,26,39286,911,7448,3936,153,67,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,80+,1545,184,405,78,1049,74,86,25,5,7,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),RURAL,Age Not Stated,16194,2216,150,14,13725,368,2267,1799,52,35,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,All Ages,219541,12812,7423,1090,190889,6352,20635,4179,594,1191,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,Less than 20,1224,373,727,292,426,55,65,18,6,8,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,20-29,16365,842,2771,189,13370,499,182,49,42,105,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,30-39,52302,2125,1815,190,48727,1311,1634,210,126,414,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,40-49,61379,2660,887,186,56315,1593,4017,519,160,362,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,50-59,44217,2498,511,114,38381,1326,5187,892,138,166,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,60-69,27682,2181,354,76,21460,952,5786,1062,82,91,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,70-79,12062,1454,181,16,8944,459,2903,949,34,30,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,80+,365,36,94,16,255,14,16,5,0,1,0,0
HH06,19,18,District - South  Twenty Four Parganas  (18),URBAN,Age Not Stated,3945,643,83,11,3011,143,845,475,6,14,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,All Ages,9704116,676000,264835,45316,8423037,347413,1001177,235370,15067,47901,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,Less than 20,49906,14808,39146,12611,9417,1634,1296,484,47,79,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,20-29,745798,46046,155091,10849,574179,28467,15616,2392,912,4338,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,30-39,2389400,119589,44504,7275,2233212,84015,108287,11575,3397,16724,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,40-49,2796330,150180,11260,6202,2553258,98461,227494,29713,4318,15804,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,50-59,1857086,126441,6032,3997,1601547,67412,246450,48235,3057,6797,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,60-69,1212360,118576,3915,2738,961492,45493,244854,67229,2099,3116,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,70-79,503254,69328,1933,1002,381802,16459,118582,51042,937,825,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,80+,7475,1024,2072,314,4862,550,535,146,6,14,0,0
HH06,29,00,State - KARNATAKA  (29),TOTAL,Age Not Stated,142507,30008,882,328,103268,4922,38063,24554,294,204,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,All Ages,6263600,452350,125306,22898,5446408,222521,680642,171291,11244,35640,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,Less than 20,30236,9373,23408,7996,5947,1016,854,307,27,54,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,20-29,417992,24945,67162,3673,339614,16563,10592,1554,624,3155,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,30-39,1471585,78199,21256,3943,1375517,53966,72408,7708,2404,12582,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,40-49,1803314,99583,5604,3404,1645071,63277,149407,21120,3232,11782,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,50-59,1220226,84805,3140,1864,1051577,42832,163182,35143,2327,4966,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,60-69,847631,83881,2113,1224,672342,30231,171526,50119,1650,2307,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,70-79,362105,49421,988,454,275617,11014,84752,37325,748,628,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,80+,5113,663,1175,186,3545,352,389,114,4,11,0,0
HH06,29,00,State - KARNATAKA  (29),RURAL,Age Not Stated,105398,21480,460,154,77178,3270,27532,17901,228,155,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,All Ages,3440516,223650,139529,22418,2976629,124892,320535,64079,3823,12261,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,Less than 20,19670,5435,15738,4615,3470,618,442,177,20,25,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,20-29,327806,21101,87929,7176,234565,11904,5024,838,288,1183,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,30-39,917815,41390,23248,3332,857695,30049,35879,3867,993,4142,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,40-49,993016,50597,5656,2798,908187,35184,78087,8593,1086,4022,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,50-59,636860,41636,2892,2133,549970,24580,83268,13092,730,1831,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,60-69,364729,34695,1802,1514,289150,15262,73328,17110,449,809,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,70-79,141149,19907,945,548,106185,5445,33830,13717,189,197,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,80+,2362,361,897,128,1317,198,146,32,2,3,0,0
HH06,29,00,State - KARNATAKA  (29),URBAN,Age Not Stated,37109,8528,422,174,26090,1652,10531,6653,66,49,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,All Ages,743501,44372,15369,3687,658614,17958,67854,18378,1664,4349,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,Less than 20,3943,883,3210,727,669,127,58,25,6,4,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,20-29,56696,3195,8527,596,46816,2023,1229,192,124,384,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,30-39,179802,8490,1955,764,168752,5274,8696,898,399,1554,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,40-49,210346,8984,660,678,193978,4849,15240,2066,468,1391,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,50-59,144339,7503,415,452,128154,2893,15459,3541,311,617,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,60-69,96674,7765,283,309,79931,1870,16229,5302,231,284,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,70-79,39372,5082,139,112,31190,666,7953,4213,90,91,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,80+,399,37,138,13,243,16,18,6,0,2,0,0
HH06,29,01,District - Belgaum  (01),TOTAL,Age Not Stated,11930,2433,42,36,8881,240,2972,2135,35,22,0,0
HH06,29,01,District - Belgaum  (01),RURAL,All Ages,556699,33348,9817,2543,495904,12600,49566,14666,1412,3539,0,0
HH06,29,01,District - Belgaum  (01),RURAL,Less than 20,2753,596,2229,484,481,91,40,17,3,4,0,0
HH06,29,01,District - Belgaum  (01),RURAL,20-29,42086,2235,5433,335,35607,1453,940,147,106,300,0,0
HH06,29,01,District - Belgaum  (01),RURAL,30-39,134237,6429,1187,600,126138,3840,6577,700,335,1289,0,0
HH06,29,01,District - Belgaum  (01),RURAL,40-49,156095,6655,391,495,144520,3386,10791,1664,393,1110,0,0
HH06,29,01,District - Belgaum  (01),RURAL,50-59,107124,5565,245,304,95611,1933,11001,2811,267,517,0,0
HH06,29,01,District - Belgaum  (01),RURAL,60-69,74132,6035,170,214,61793,1275,11972,4323,197,223,0,0
HH06,29,01,District - Belgaum  (01),RURAL,70-79,30664,3918,76,76,24485,450,6023,3314,80,78,0,0
HH06,29,01,District - Belgaum  (01),RURAL,80+,245,24,62,8,172,12,11,3,0,1,0,0
HH06,29,01,District - Belgaum  (01),RURAL,Age Not Stated,9363,1891,24,27,7097,160,2211,1687,31,17,0,0
HH06,29,01,District - Belgaum  (01),URBAN,All Ages,186802,11024,5552,1144,162710,5358,18288,3712,252,810,0,0
HH06,29,01,District - Belgaum  (01),URBAN,Less than 20,1190,287,981,243,188,36,18,8,3,0,0,0
HH06,29,01,District - Belgaum  (01),URBAN,20-29,14610,960,3094,261,11209,570,289,45,18,84,0,0
HH06,29,01,District - Belgaum  (01),URBAN,30-39,45565,2061,768,164,42614,1434,2119,198,64,265,0,0
HH06,29,01,District - Belgaum  (01),URBAN,40-49,54251,2329,269,183,49458,1463,4449,402,75,281,0,0
HH06,29,01,District - Belgaum  (01),URBAN,50-59,37215,1938,170,148,32543,960,4458,730,44,100,0,0
HH06,29,01,District - Belgaum  (01),URBAN,60-69,22542,1730,113,95,18138,595,4257,979,34,61,0,0
HH06,29,01,District - Belgaum  (01),URBAN,70-79,8708,1164,63,36,6705,216,1930,899,10,13,0,0
HH06,29,01,District - Belgaum  (01),URBAN,80+,154,13,76,5,71,4,7,3,0,1,0,0
HH06,29,01,District - Belgaum  (01),URBAN,Age Not Stated,2567,542,18,9,1784,80,761,448,4,5,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,All Ages,272511,20628,6471,2222,234091,9637,31492,7412,457,1357,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,Less than 20,2010,553,1649,450,326,85,35,15,0,3,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,20-29,21424,1448,3510,318,17309,908,580,85,25,137,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,30-39,65581,4075,758,544,60914,2723,3807,340,102,468,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,40-49,77960,4454,228,400,70327,2639,7266,980,139,435,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,50-59,52331,3633,142,237,44639,1656,7451,1544,99,196,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,60-69,35279,3604,99,179,27507,1110,7609,2225,64,90,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,70-79,14028,2016,38,70,10399,384,3573,1542,18,20,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,80+,96,19,29,4,61,12,6,2,0,1,0,0
HH06,29,02,District - Bagalkot *  (02),TOTAL,Age Not Stated,3802,826,18,20,2609,120,1165,679,10,7,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,All Ages,192097,14941,4164,1574,165313,6807,22255,5487,365,1073,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,Less than 20,1408,401,1146,319,235,69,27,11,0,2,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,20-29,15215,1016,2219,195,12588,653,388,57,20,111,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,30-39,46135,3001,451,408,42898,1968,2710,255,76,370,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,40-49,54240,3222,134,290,48964,1860,5025,726,117,346,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,50-59,36832,2675,90,175,31391,1152,5279,1194,72,154,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,60-69,25496,2618,66,133,19912,752,5461,1666,57,67,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,70-79,10028,1436,20,41,7440,265,2555,1114,13,16,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,80+,76,12,25,1,48,8,3,2,0,1,0,0
HH06,29,02,District - Bagalkot *  (02),RURAL,Age Not Stated,2667,560,13,12,1837,80,807,462,10,6,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,All Ages,80414,5687,2307,648,68778,2830,9237,1925,92,284,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,Less than 20,602,152,503,131,91,16,8,4,0,1,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,20-29,6209,432,1291,123,4721,255,192,28,5,26,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,30-39,19446,1074,307,136,18016,755,1097,85,26,98,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,40-49,23720,1232,94,110,21363,779,2241,254,22,89,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,50-59,15499,958,52,62,13248,504,2172,350,27,42,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,60-69,9783,986,33,46,7595,358,2148,559,7,23,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,70-79,4000,580,18,29,2959,119,1018,428,5,4,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,80+,20,7,4,3,13,4,3,0,0,0,0,0
HH06,29,02,District - Bagalkot *  (02),URBAN,Age Not Stated,1135,266,5,8,772,40,358,217,0,1,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,All Ages,296270,20324,6867,1501,262134,9440,26759,7798,510,1585,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,Less than 20,2421,751,1978,659,403,74,38,13,2,5,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,20-29,19563,1268,3542,187,15542,876,463,91,16,114,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,30-39,67132,3497,728,240,63178,2349,3117,364,109,544,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,40-49,84540,4366,244,182,78322,2737,5853,917,121,530,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,50-59,58846,3602,139,101,52563,1638,6022,1616,122,247,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,60-69,41786,3708,90,78,34806,1162,6797,2364,93,104,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,70-79,16793,2191,46,33,13406,432,3306,1696,35,30,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,80+,274,29,73,9,190,16,11,3,0,1,0,0
HH06,29,03,District - Bijapur  (03),TOTAL,Age Not Stated,4915,912,27,12,3724,156,1152,734,12,10,0,0
HH06,29,03,District - Bijapur  (03),RURAL,All Ages,229723,16090,5205,1153,203799,7149,20273,6439,446,1349,0,0
HH06,29,03,District - Bijapur  (03),RURAL,Less than 20,1965,612,1622,542,312,56,30,10,1,4,0,0
HH06,29,03,District - Bijapur  (03),RURAL,20-29,14721,911,2622,96,11742,644,343,70,14,101,0,0
HH06,29,03,District - Bijapur  (03),RURAL,30-39,50572,2726,512,181,47661,1805,2307,282,92,458,0,0
HH06,29,03,District - Bijapur  (03),RURAL,40-49,65035,3459,169,148,60399,2118,4362,744,105,449,0,0
HH06,29,03,District - Bijapur  (03),RURAL,50-59,46023,2828,103,78,41342,1205,4468,1329,110,216,0,0
HH06,29,03,District - Bijapur  (03),RURAL,60-69,33631,3042,64,61,28174,883,5308,2010,85,88,0,0
HH06,29,03,District - Bijapur  (03),RURAL,70-79,13558,1769,36,29,10920,312,2575,1404,27,24,0,0
HH06,29,03,District - Bijapur  (03),RURAL,80+,230,21,58,8,162,9,10,3,0,1,0,0
HH06,29,03,District - Bijapur  (03),RURAL,Age Not Stated,3988,722,19,10,3087,117,870,587,12,8,0,0
HH06,29,03,District - Bijapur  (03),URBAN,All Ages,66547,4234,1662,348,58335,2291,6486,1359,64,236,0,0
HH06,29,03,District - Bijapur  (03),URBAN,Less than 20,456,139,356,117,91,18,8,3,1,1,0,0
HH06,29,03,District - Bijapur  (03),URBAN,20-29,4842,357,920,91,3800,232,120,21,2,13,0,0
HH06,29,03,District - Bijapur  (03),URBAN,30-39,16560,771,216,59,15517,544,810,82,17,86,0,0
HH06,29,03,District - Bijapur  (03),URBAN,40-49,19505,907,75,34,17923,619,1491,173,16,81,0,0
HH06,29,03,District - Bijapur  (03),URBAN,50-59,12823,774,36,23,11221,433,1554,287,12,31,0,0
HH06,29,03,District - Bijapur  (03),URBAN,60-69,8155,666,26,17,6632,279,1489,354,8,16,0,0
HH06,29,03,District - Bijapur  (03),URBAN,70-79,3235,422,10,4,2486,120,731,292,8,6,0,0
HH06,29,03,District - Bijapur  (03),URBAN,80+,44,8,15,1,28,7,1,0,0,0,0,0
HH06,29,03,District - Bijapur  (03),URBAN,Age Not Stated,927,190,8,2,637,39,282,147,0,2,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,All Ages,501940,32843,11426,1685,441609,15121,48048,14251,857,1786,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,Less than 20,3870,1137,3227,994,597,119,42,17,4,7,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,20-29,39124,1949,5915,237,32184,1349,941,187,84,176,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,30-39,123693,5339,1324,169,116049,3700,6099,812,221,658,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,40-49,143298,6994,385,135,131344,4172,11322,2133,247,554,0,0
HH06,29,04,District - Gulbarga  (04),TOTAL,50-59,97743,6544,210,85,85656,2862,11723,3364,154,233,0,0
